cotacaoCompra,cotacaoVenda,dataHoraCotacao,fonte
5.3512,5.3612,2026-07-16 21:45:59.604769,dados_sinteticos_offline
5.3132,5.3232,2026-07-17 21:45:59.604769,dados_sinteticos_offline
5.2952,5.3052,2026-07-20 21:45:59.604769,dados_sinteticos_offline
5.2731,5.2831,2026-07-21 21:45:59.604769,dados_sinteticos_offline
5.292,5.302,2026-07-22 21:45:59.604769,dados_sinteticos_offline
5.3061,5.3161,2026-07-23 21:45:59.604769,dados_sinteticos_offline
5.3375,5.3475,2026-07-24 21:45:59.604769,dados_sinteticos_offline
5.3045,5.3145,2026-07-27 21:45:59.604769,dados_sinteticos_offline
5.2983,5.3083,2026-07-28 21:45:59.604769,dados_sinteticos_offline
5.2607,5.2707,2026-07-29 21:45:59.604769,dados_sinteticos_offline
5.2382,5.2482,2026-07-30 21:45:59.604769,dados_sinteticos_offline
5.2386,5.2486,2026-07-31 21:45:59.604769,dados_sinteticos_offline
5.2007,5.2107,2026-08-03 21:45:59.604769,dados_sinteticos_offline
5.1766000000000005,5.1866,2026-08-04 21:45:59.604769,dados_sinteticos_offline
5.1886,5.1986,2026-08-05 21:45:59.604769,dados_sinteticos_offline
5.192200000000001,5.2022,2026-08-06 21:45:59.604769,dados_sinteticos_offline
5.1698,5.1798,2026-08-07 21:45:59.604769,dados_sinteticos_offline
5.1769,5.1869,2026-08-10 21:45:59.604769,dados_sinteticos_offline
5.201700000000001,5.2117,2026-08-11 21:45:59.604769,dados_sinteticos_offline
5.1622,5.1722,2026-08-12 21:45:59.604769,dados_sinteticos_offline
5.1867,5.1967,2026-08-13 21:45:59.604769,dados_sinteticos_offline
5.2026,5.2126,2026-08-14 21:45:59.604769,dados_sinteticos_offline
