id,data,cotacao_compra,cotacao_venda,spread,variacao_pct_dia_anterior,tendencia,fonte
1,2026-07-16,5.3512,5.3612,0.01,,estável,dados_sinteticos_offline
2,2026-07-17,5.3132,5.3232,0.01,-0.71,baixa,dados_sinteticos_offline
3,2026-07-20,5.2952,5.3052,0.01,-0.34,baixa,dados_sinteticos_offline
4,2026-07-21,5.2731,5.2831,0.01,-0.42,baixa,dados_sinteticos_offline
5,2026-07-22,5.292,5.302,0.01,0.36,alta,dados_sinteticos_offline
6,2026-07-23,5.3061,5.3161,0.01,0.27,alta,dados_sinteticos_offline
7,2026-07-24,5.3375,5.3475,0.01,0.59,alta,dados_sinteticos_offline
8,2026-07-27,5.3045,5.3145,0.01,-0.62,baixa,dados_sinteticos_offline
9,2026-07-28,5.2983,5.3083,0.01,-0.12,baixa,dados_sinteticos_offline
10,2026-07-29,5.2607,5.2707,0.01,-0.71,baixa,dados_sinteticos_offline
11,2026-07-30,5.2382,5.2482,0.01,-0.43,baixa,dados_sinteticos_offline
12,2026-07-31,5.2386,5.2486,0.01,0.01,alta,dados_sinteticos_offline
13,2026-08-03,5.2007,5.2107,0.01,-0.72,baixa,dados_sinteticos_offline
14,2026-08-04,5.1766000000000005,5.1866,0.01,-0.46,baixa,dados_sinteticos_offline
15,2026-08-05,5.1886,5.1986,0.01,0.23,alta,dados_sinteticos_offline
16,2026-08-06,5.192200000000001,5.2022,0.01,0.07,alta,dados_sinteticos_offline
17,2026-08-07,5.1698,5.1798,0.01,-0.43,baixa,dados_sinteticos_offline
18,2026-08-10,5.1769,5.1869,0.01,0.14,alta,dados_sinteticos_offline
19,2026-08-11,5.201700000000001,5.2117,0.01,0.48,alta,dados_sinteticos_offline
20,2026-08-12,5.1622,5.1722,0.01,-0.76,baixa,dados_sinteticos_offline
21,2026-08-13,5.1867,5.1967,0.01,0.47,alta,dados_sinteticos_offline
22,2026-08-14,5.2026,5.2126,0.01,0.31,alta,dados_sinteticos_offline
